"_id",action,actions,address,adminArea,countryCode,countryName,createdAt,desc.floor,desc.metaDesc,desc.metaPhoto,desc.metaTitle,email,featureName,followers,gcmTokens.0,keywords.0,latitude,level,locality,longitude,name,owner,parent,password,phone,photos.0,point,read,roles,subLinks.0.id,subLinks.0.name,subLinks.0.owner,subLinks.0.type,subLinks.1.id,subLinks.1.name,subLinks.1.owner,subLinks.1.type,thoroughfare,type,updatedAt
56ba0759c7d621dd306f13f9,,[  ],충청북도 진천군 진천읍 상산로 65,충청북도,KR,대한민국,2016-02-09T15:35:53.481Z,,,,,,65,[  ],,,36.8549829697086,14.0,진천군,127.4412749615,진천읍 정보센터,,,,,,0,false,[  ],,,,,,,,,진천읍,INFO_CENTER,2016-02-09T15:35:53.481Z
56ba0759c7d621dd306f1408,,[  ],충청북도 서원구 남이면 척산길 7,충청북도,KR,대한민국,2016-02-09T15:35:53.492Z,,,,,,7,[  ],,,36.5604624782939,14.0,서원구,127.434053676727,남이면 정보센터,,,,,,0,false,[  ],,,,,,,,,남이면,INFO_CENTER,2016-02-09T15:35:53.492Z
56ba0759c7d621dd306f1412,,[  ],충청북도 서원구 현도면 선동1길 9,충청북도,KR,대한민국,2016-02-09T15:35:53.499Z,,,,,,9,[  ],,,36.4865497518155,14.0,서원구,127.424208710519,현도면 정보센터,,,,,,0,false,[  ],,,,,,,,,현도면,INFO_CENTER,2016-02-09T15:35:53.499Z
56ba0759c7d621dd306f1415,,[  ],충청북도 청원구 내수읍 마산3길 49,충청북도,KR,대한민국,2016-02-09T15:35:53.501Z,,,,,,49,[  ],,,36.7239132231625,14.0,청원구,127.534925380164,내수읍 정보센터,,,,,,0,false,[  ],,,,,,,,,내수읍,INFO_CENTER,2016-02-09T15:35:53.501Z
56ba0759c7d621dd306f142c,,[  ],충청북도 충주시 동량면 조돈안길 1,충청북도,KR,대한민국,2016-02-09T15:35:53.527Z,,,,,,1,[  ],,,37.0262650243184,14.0,충주시,127.96315882889,동량면 정보센터,,,,,,0,false,[  ],,,,,,,,,동량면,INFO_CENTER,2016-02-09T15:35:53.527Z
56ba0759c7d621dd306f1433,,[  ],충청북도 충주시 소태면 쟁골1길 1,충청북도,KR,대한민국,2016-02-09T15:35:53.532Z,,,,,,1,[  ],,,37.1098059973189,14.0,충주시,127.847460293511,소태면 정보센터,,,,,,0,false,[  ],,,,,,,,,소태면,INFO_CENTER,2016-02-09T15:35:53.532Z
56ba0759c7d621dd306f13a5,,[  ],충청남도 홍성군 홍성읍 아문길 31,충청남도,KR,대한민국,2016-02-09T15:35:53.419Z,,,,,,31,[  ],,,36.6016856617082,14.0,홍성군,126.662131885526,홍성읍 정보센터,,,,,,0,false,[  ],,,,,,,,,홍성읍,INFO_CENTER,2016-02-09T15:35:53.419Z
56ba0759c7d621dd306f13a8,,[  ],충청북도 괴산군 문광면 광덕길 27,충청북도,KR,대한민국,2016-02-09T15:35:53.422Z,,,,,,27,[  ],,,36.7901730502233,14.0,괴산군,127.785090523327,문광면 정보센터,,,,,,0,false,[  ],,,,,,,,,문광면,INFO_CENTER,2016-02-09T15:35:53.422Z
56ba0759c7d621dd306f13a9,,[  ],충청북도 괴산군 불정면 목도로 25,충청북도,KR,대한민국,2016-02-09T15:35:53.422Z,,,,,,25,[  ],,,36.8723190454448,14.0,괴산군,127.854138181134,불정면 정보센터,,,,,,0,false,[  ],,,,,,,,,불정면,INFO_CENTER,2016-02-09T15:35:53.422Z
56ba0759c7d621dd306f13b0,,[  ],충청북도 괴산군 칠성면 도정로 61,충청북도,KR,대한민국,2016-02-09T15:35:53.427Z,,,,,,61,[  ],,,36.787887144032,14.0,괴산군,127.863721973361,칠성면 정보센터,,,,,,0,false,[  ],,,,,,,,,칠성면,INFO_CENTER,2016-02-09T15:35:53.427Z
